snumber	regine	main	name	stnr	start.yr	end.yr	missing.yr	areal	altitude	utm.e	runoff.region	lon	lat
200633	2	633	Stortorp	2.633	1979	2012	1	87.13	178	302085.12	ostlandet	11.5177560482	59.3595195293
300022	3	22	HOgfoss	3.22	1976	2012	1	299.29	153	265841.94	ostlandet	10.8561042786	59.5516102527
600010	6	10	Gryta	6.10	1967	2012	1	7.03	300	265779.88	ostlandet	10.8005677592	59.9872112959
800002	8	2	BjOrnegaardssvingen	8.2	1968	2012	1	190.19	341	248790.6	ostlandet	10.5083865143	59.8933940706
800006	8	6	Saeternbekken	8.6	1971	2012	3	6.23	240	252404.45	ostlandet	10.5664510718	59.9429386589
1200013	12	13	Rysna	12.13	1973	2012	1	50.76	1372	162287.9	ostlandet	8.71596095234	61.1685263768
1200070	12	70	Etna	12.70	1960	2012	0	570.17	936	209138.61	ostlandet	9.62617423976	60.9519017902
1200097	12	97	Bergheim	12.97	1960	2012	0	4248.54	1071	183105.73	ostlandet	9.23131507953	60.4719194017
1200099	12	99	Skaalfoss	12.99	1965	2012	1	5126.71	1017	212736.83	ostlandet	9.83417605485	60.0780108282
1200113	12	113	Kraakefjord ndf.	12.113	1976	2012	0	702.16	597	201308.07	ostlandet	9.63402564276	60.0432035998
1200137	12	137	Gjerdeslaatta	12.137	1960	2012	0	774.58	1261	158817.62	ostlandet	8.72664970108	60.7896772649
1200171	12	171	HOlervatn	12.171	1968	2012	1	79.75	902	197891.82	ostlandet	9.46021861262	60.709708034
1200178	12	178	Eggedal	12.178	1972	2012	0	309.77	846	191231.58	ostlandet	9.43438837921	60.1517613185
1200188	12	188	Langtjernbekk	12.188	1973	2012	1	4.79	586	209434.06	ostlandet	9.72745620622	60.3727134693
1200193	12	193	Fiskum	12.193	1976	2012	1	51.6	277	206901.23	ostlandet	9.78916007231	59.6975418061
1200197	12	197	Grunke	12.197	1977	2012	4	184.46	1305	159261.01	ostlandet	8.70313890357	60.9503360863
1200200	12	200	KolbjOrnshus	12.200	1978	2012	1	2064.45	870	232178.08	ostlandet	10.0723333453	60.8233855575
1200207	12	207	Vinde-elv	12.207	1982	2012	0	269.34	981	181407.39	ostlandet	9.07559306106	61.1517455803
1500021	15	21	Jondalselv	15.21	1960	2012	0	125.9	574	193827.63	ostlandet	9.55479775351	59.7073440689
1500049	15	49	Jalledalsvatn	15.49	1962	2012	1	59.13	1028	142101.27	ostlandet	8.47906451083	60.4929660414
1500053	15	53	Borgaai	15.53	1966	2012	1	94.07	1011	169391.31	ostlandet	9.01118441235	60.3096045083
1500079	15	79	Orsjoren	15.79	1960	2012	0	1177.29	1229	129056.71	ostlandet	8.26391836472	60.3820940656
1600010	16	10	Omnesfoss	16.10	1963	2012	1	807.71	852	161341.81	ostlandet	8.99323050685	59.6117142657
1600051	16	51	Hagadrag	16.51	1960	2012	0	726.98	820	152829.22	ostlandet	8.87475984036	59.4320111184
1600066	16	66	Grosettjern	16.66	1960	2012	0	6.6	1005	126012.81	ostlandet	8.32061475723	59.8355481776
1600075	16	75	Tannsvatn (Lognvikvatnet)	16.75	1960	2012	0	118.28	905	109975.69	ostlandet	8.06738831823	59.6731716234
1600122	16	122	Grovaai	16.122	1972	2012	1	42.69	914	123333.29	ostlandet	8.31171853517	59.6414005671
1600132	16	132	Gjuvaa	16.132	1981	2012	3	33.1	1084	151721.16	ostlandet	8.79565318165	59.7554283214
1600194	16	194	Kilen	16.194	1962	2012	3	118.47	491	146933.04	ostlandet	8.7857909192	59.3490717296
1800010	18	10	Gjerstad	18.10	1980	2012	1	236.23	313	156331.72	sorlandet	9.03327195401	58.8836052993
1800011	18	11	Tjellingtjernbekk	18.11	1981	2012	1	1.95	377	146829.53	sorlandet	8.85937722105	58.9320832806
1900073	19	73	Kilaai bru	19.73	1968	2012	1	64.37	667	115460.24	sorlandet	8.29921269373	59.0020379873
1900079	19	79	Gravaa	19.79	1970	2012	1	6.31	659	103120.89	sorlandet	8.03640639294	59.234845846
1900080	19	80	Stigvassaai	19.80	1972	2012	0	14.49	263	125136.29	sorlandet	8.51572611039	58.7498907111
1900082	19	82	Rauaana	19.82	1972	2012	1	8.93	396	127064.51	sorlandet	8.50817698637	58.9685135132
1900096	19	96	Storgama ovf.	19.96	1974	2012	1	0.52	610	136290.68	sorlandet	8.65362135008	59.052316294
1900104	19	104	Sognedalsaai	19.104	1981	2012	0	65.52	777	100966.81	sorlandet	7.98510243401	59.2998550039
2000002	20	2	Austenaa	20.2	1960	2012	0	276.42	763	102216.1	sorlandet	8.10052523255	58.8396329494
2000003	20	3	Flaksvatn	20.3	1960	2012	0	1780.66	354	102366.62	sorlandet	8.20306070728	58.3304644227
2000011	20	11	Tveitdalen	20.11	1972	2012	1	0.44	219	105276.79	sorlandet	8.24237216963	58.3854119511
2200004	22	4	KjOlemo	22.4	1960	2012	0	1757.7	560	60352.1	sorlandet	7.52767221814	58.1202369475
2200016	22	16	Myglevatn ndf.	22.16	1960	2012	0	182.2	447	67674.34	sorlandet	7.58435133601	58.4456099651
2200020	22	20	Haaverstad	22.20	1964	2012	2	1054.95	767	59181.85	sorlandet	7.426945789	58.4981221228
2200022	22	22	SOgne	22.22	1973	2012	2	203.58	198	78051.21	sorlandet	7.83510849133	58.0909799337
2400008	24	8	MOska (Skolandsvatnet)	24.8	1978	2012	2	NA	NA	33806.77	sorlandet	7.06622895861	58.1605648946
2400009	24	9	Tingvatn (Lygne)	24.9	1960	2012	0	272.16	588	46112.2	sorlandet	7.223347914	58.4011394637
2500024	25	24	Gjuvvatn	25.24	1971	2012	1	96.82	1139	55441.16	sorlandet	7.21480466135	59.1591743962
2600020	26	20	aardal	26.20	1970	2012	1	77.25	478	5913.63	sorlandet	6.49783435683	58.5435666775
2600021	26	21	Sandvatn	26.21	1971	2012	0	27.5	470	21105.08	sorlandet	6.77277922635	58.4897821907
2600026	26	26	Jogla	26.26	1973	2012	0	31.12	1002	36968.58	sorlandet	6.93801450278	58.9574423772
2600029	26	29	Refsvatn	26.29	1978	2012	0	52.95	297	-5733.44	sorlandet	6.34451864319	58.3508868761
2700024	27	24	Helleland	27.24	1977	2012	0	184.72	489	-14357.22	sorlandet	6.15028777231	58.5335990736
2700025	27	25	Gjedlakleiv	27.25	1982	2012	1	635.15	527	-18635.55	sorlandet	6.06619517808	58.5734023377
2800007	28	7	Haugland	28.7	1960	2012	0	139.35	178	-41015.96	sorlandet	5.64699868585	58.6927500209
3500009	35	9	Osali (Botnavatnet)	35.9	1982	2012	2	22.46	871	25306.03	vestlandet	6.62246306519	59.414258494
3600013	36	13	Grimsvatn	36.13	1973	2012	1	34.54	833	23014.85	vestlandet	6.5398061879	59.5816249876
3800001	38	1	Holmen	38.1	1982	2012	2	116.88	556	-13383.07	vestlandet	5.91403434125	59.4991721071
3900001	39	1	Tysvaer	39.1	1974	2012	3	3.34	25	-42637.57	vestlandet	5.44221511183	59.3298849658
4100001	41	1	Stordalsvatn	41.1	1960	2012	0	130.61	681	-5157.71	vestlandet	6.01088896843	59.6829364522
4100008	41	8	Hellaugvatn	41.8	1981	2012	1	27.49	904	5164.46	vestlandet	6.18547237967	59.7200436505
4200002	42	2	Fjellhaugvatn	42.2	1963	2012	1	31.9	526	-12937.1	vestlandet	5.83462520333	59.8180886641
4600004	46	4	Bondhus	46.4	1963	2012	6	60.5	1236	15648.91	vestlandet	6.26871777365	60.1162197224
4600009	46	9	FOnnerdalsvatn	46.9	1980	2012	5	7.01	1371	15646.91	vestlandet	6.28177110817	60.0670753364
4800001	48	1	Sandvenvatn	48.1	1960	2012	0	470.22	1090	29631.53	vestlandet	6.54813736031	60.0138925538
4800005	48	5	Reinsnosvatn	48.5	1960	2012	0	120.5	1232	39122.21	vestlandet	6.7306555087	59.9686479325
5000001	50	1	HOlen	50.1	1960	2012	0	232.73	1277	45356.83	vestlandet	6.74495671676	60.3588525808
5000003	50	3	Eidfjordvatn	50.3	1960	2012	0	1166.92	1226	66307.21	vestlandet	7.10995258826	60.4274079677
5000013	50	13	Bjoreio	50.13	1982	2012	1	262.61	1249	81427.31	vestlandet	7.39578747008	60.3852389746
5500004	55	4	ROykenes	55.4	1960	2012	0	50.09	307	-27968.3	vestlandet	5.43939619483	60.2510816641
5500005	55	5	Dyrdalsvatn	55.5	1977	2012	6	3.31	581	-21792.16	vestlandet	5.52293129983	60.3499115881
5500007	55	7	Eikelandsosen	55.7	1980	2012	2	42.72	512	-10237.72	vestlandet	5.7636554124	60.2450124074
6200005	62	5	Bulken (Vangsvatnet)	62.5	1960	2012	0	1092.04	867	24487.79	vestlandet	6.29180903642	60.6292968801
7100001	71	1	Skjerping	71.1	1968	2012	1	267.79	969	54955.03	vestlandet	6.79299703969	60.858934571
7200005	72	5	Brekke bru	72.5	1960	2012	0	268.16	1273	72182.26	vestlandet	7.11390252479	60.8503484442
7300001	73	1	Lo bru	73.1	1960	2012	0	562.39	1324	112741.23	vestlandet	7.81667070726	61.0586015151
7300004	73	4	Saelthun	73.4	1961	2012	3	789.96	1335	106455.75	vestlandet	7.70113149612	61.0526014041
7400016	74	16	Langedalen	74.16	1972	2012	1	23.8	1328	111126.02	vestlandet	7.70727011754	61.401487742
7400018	74	18	Fornabu	74.18	1982	2012	5	53.13	1054	100689.46	vestlandet	7.55117427626	61.2333545015
7500022	75	22	Gilja	75.22	1963	2012	1	203.43	1364	108416.66	vestlandet	7.62113534631	61.5496885637
7500023	75	23	Krokenelv	75.23	1965	2012	1	45.92	1148	93990.63	vestlandet	7.39821773104	61.3470190449
7500028	75	28	Feigumfoss	75.28	1972	2012	1	48.04	1294	96934.61	vestlandet	7.4451107872	61.3816845018
7600005	76	5	Nigardsbrevatn(NigardsjOen)	76.5	1962	2012	1	65.29	1546	89910.04	vestlandet	7.24190555815	61.6665542182
7600010	76	10	Myklemyr	76.10	1978	2012	1	575.82	1323	89454.81	vestlandet	7.27351695654	61.5062261252
7600011	76	11	VigdOla	76.11	1979	2012	1	45.45	1324	92461.73	vestlandet	7.32978721267	61.5082735503
7700003	77	3	Sogndalsvatn	77.3	1962	2012	1	110.93	1000	72486.31	vestlandet	7.00680819339	61.2978380371
7800008	78	8	BOyumselv	78.8	1965	2012	1	40.42	1224	60540.58	vestlandet	6.74268378239	61.4486997237
8000004	80	4	UllebOelv	80.4	1960	2012	0	8.31	661	5982.37	vestlandet	5.78580590887	61.2034222915
8100001	81	1	Hersvikvatn (Hagevatnet)	81.1	1960	2012	0	7.13	51	-40463.98	vestlandet	4.93672487162	61.1354851789
8200004	82	4	Nautsundvatn	82.4	1960	2012	0	218.96	464	-14299.94	vestlandet	5.39112429574	61.2505422043
8300002	83	2	Viksvatn (Hestadfjorden)	83.2	1960	2012	0	508.13	842	13381.53	vestlandet	5.88656275574	61.3333593894
8300006	83	6	Byttevatn	83.6	1965	2012	4	104.54	1014	38046.65	vestlandet	6.34750123612	61.3440423783
8300007	83	7	GrOnengstOlsvatn	83.7	1965	2012	1	65.65	1184	45979.54	vestlandet	6.46945505035	61.4433756154
8400015	84	15	JOlstervatn ndf.	84.15	1960	2012	0	384.46	748	27578.5	vestlandet	6.10855535273	61.4909881528
8400020	84	20	Holsenvatn	84.20	1963	2012	1	NA	NA	24363.15	vestlandet	6.06487897169	61.4317682569
8500002	85	2	Blaamannsvatn	85.2	1960	2012	5	225.63	429	-2381.17	vestlandet	5.51909989095	61.565339554
8500004	85	4	Straumstad (Solhiemsvatnet)	85.4	1974	2012	1	109.68	586	-4978.34	vestlandet	5.44394734071	61.6487023809
8600010	86	10	aavatn (Ommedalsvatnet)	86.10	1974	2012	1	162.13	696	21229.89	vestlandet	5.92157743482	61.7186849714
8600012	86	12	Skjerdalselv	86.12	1982	2012	1	23.76	1045	23477.81	vestlandet	5.93556806169	61.8160257925
8700002	87	2	Gloppenelva v/Eidsfoss	87.2	1960	2012	0	614.33	869	38512.91	vestlandet	6.24007438051	61.7560123793
8700010	87	10	Gloppenelv v/Bergheim	87.10	1970	2012	1	217.12	1045	52688.19	vestlandet	6.52063542308	61.7186013115
8800004	88	4	Lovatn	88.4	1960	2012	0	234.88	1337	74030.7	vestlandet	6.88967037558	61.8586938505
8800016	88	16	Hjelled?a	88.16	1982	2012	0	228.94	1255	87112.46	vestlandet	7.1247244647	61.9164256261
8900001	89	1	Horindalsvatn	89.1	1960	2012	0	381.68	480	34637.55	vestlandet	6.11860856651	61.9197009441
9100002	91	2	DalsbOvatn	91.2	1960	2012	0	25.72	252	-10882.74	vestlandet	5.16649027697	62.1624295659
9700001	97	1	Fetvatn (Fitjavatnet)	97.1	1960	2012	0	88.95	591	65356.79	vestlandet	6.59288754194	62.332500446
9800004	98	4	Oye ndf.	98.4	1960	2012	0	138.78	982	79110.4	vestlandet	6.93125219554	62.0681801691
9900017	99	17	Kjeldstad i Garbergelva	99.17	1981	2012	3	49.86	1325	110133.94	vestlandet	7.49588321296	62.1975093561
10100001	101	1	Engsetvatn	101.1	1960	2012	0	39.93	159	69509.33	vestlandet	6.61766949177	62.5313953706
10300020	103	20	Isa v/MorstOl bru	103.20	1972	2012	2	44.4	912	138554.18	vestlandet	7.9540731376	62.583233002
10300040	103	40	Rauma v/Horgheim	103.40	1971	2012	2	1099.42	1241	128354.11	vestlandet	7.78144054749	62.4732139981
10400002	104	2	Eikesdalsvatn	104.2	1960	2012	0	1093.43	1226	147786.5	vestlandet	8.12405056822	62.6284650888
10400022	104	22	Midtre Mardalsvatn	104.22	1976	2012	1	13.68	1132	143672.85	vestlandet	8.07138422639	62.5095012926
10400023	104	23	Vistdal 	104.23	1975	2012	1	66.52	737	140290.08	vestlandet	7.96077943055	62.6977346063
10500001	105	1	Osenelv v/Oren	105.1	1960	2012	0	137.59	235	129534.15	vestlandet	7.7260648214	62.7931997944
10700003	107	3	Farstadelva v/Farstad	107.3	1965	2012	1	24.23	56	103341.32	vestlandet	7.16191335664	62.9728065902
10900009	109	9	Driva v/Risefoss	109.9	1960	2012	0	745.38	1347	221773.18	vestlandet	9.59263939556	62.51138425
10900020	109	20	Driva v/GrensehOlen	109.20	1964	2012	1	1632.61	1202	200142.2	vestlandet	9.15955513916	62.5718716522
10900021	109	21	Driva v/Svon	109.21	1970	2012	2	136.02	1263	217144.41	vestlandet	9.54912101705	62.256634739
10900029	109	29	Dalavatn	109.29	1974	2012	1	85.44	1178	178701.3	vestlandet	8.73347618341	62.6075315152
10900042	109	42	Driva v/Elverhoy bru	109.42	1975	2012	1	2437.41	1217	177135.52	vestlandet	8.69408937327	62.6487398549
11100005	111	5	Toaaa v/Talgoyfoss	111.5	1960	2012	0	150.47	917	183251.27	vestlandet	8.78268596169	62.7966358185
11100009	111	9	SOya v/Melhus	111.9	1974	2012	1	137.63	577	175362.9	vestlandet	8.60489924328	62.9002851834
11200008	112	8	Rinna	112.8	1969	2012	1	86.23	814	216477.01	vestlandet	9.40089275439	62.981497012
12100022	121	22	Syrstad	121.22	1972	2012	1	2278.13	866	233461.44	trondelag	9.7277077322	63.0322515811
12200011	122	11	Eggefoss	122.11	1960	2012	0	654.24	844	306061.42	trondelag	11.183880014	62.8901068646
12300031	123	31	Kjeldstad i Garbergelva	123.31	1960	2012	0	145	576	305904.58	trondelag	11.1311000196	63.2661675206
12400002	124	2	HOggaas bru	124.2	1960	2012	0	494.72	505	318722.12	trondelag	11.3581541346	63.4929522993
12500002	125	2	Fossing	125.2	1960	2012	2	163.37	282	304777.08	trondelag	11.0614937487	63.6107798183
12700006	127	6	Grunnfoss	127.6	1960	2012	0	880.42	500	342841.22	trondelag	11.8096928124	63.7911803682
12700011	127	11	Veravatn	127.11	1966	2012	1	176.13	518	368281	trondelag	12.3265429764	63.7893414118
12700013	127	13	Dillfoss	127.13	1973	2012	0	479.64	507	340506.42	trondelag	11.7653904944	63.7639266945
12800005	128	5	St?foss	128.5	1960	2012	0	476.58	358	339631.49	trondelag	11.7181251279	64.01761328
13100001	131	1	Oppgrande bru	131.1	1979	2012	4	108.84	267	302226.63	trondelag	10.9805478117	63.8187634024
13300007	133	7	Krinsvatn (Kringsvatnet)	133.7	1960	2012	0	206.61	348	265316.38	trondelag	10.2319088718	63.8040902162
13800001	138	1	Oyungen	138.1	1960	2012	0	239.07	294	310110.49	trondelag	11.0816870447	64.2437790293
13900015	139	15	BjOrnstad	139.15	1960	2012	0	1037.62	700	417933	trondelag	13.2583636513	65.0177902669
13900020	139	20	Moen	139.20	1974	2012	1	64.03	556	409192	trondelag	13.0794506472	64.9254871808
13900026	139	26	Embreth?er	139.26	1980	2012	1	494.82	574	376550	trondelag	12.440053066	64.3874826577
13900035	139	35	Trangen	139.35	1978	2012	1	852.39	558	378745	trondelag	12.481649285	64.4304665244
14000002	140	2	Salsvatn	140.2	1960	2012	0	431.9	270	331028.74	trondelag	11.4543617988	64.7053765394
14200001	142	1	FOrste Aunvatn	142.1	1982	2012	1	87.29	625	380555	trondelag	12.4770349494	64.8886345001
14400001	144	1	aabjOrvatn	144.1	1960	2012	6	388.95	625	390293	nordland	12.6697943493	65.0385160076
14800002	148	2	Mevatnet	148.2	1973	2012	1	108.47	158	385512	nordland	12.5380572751	65.3648797196
15000001	150	1	SOrra	150.1	1960	2012	3	6.58	69	389532	nordland	12.5676106158	65.9786273424
15100013	151	13	?vre Glugvatn	151.13	1968	2012	1	60.65	570	433544	nordland	13.5542753971	65.6710126336
15100015	151	15	Nervoll	151.15	1968	2012	1	653.36	827	452970	nordland	13.9860355595	65.4375715747
15100021	151	21	Joibakken	151.21	1972	2012	1	2623.11	713	428582	nordland	13.4547666477	65.5290691933
15100028	151	28	Laksfors	151.28	1960	2012	0	3653.4	660	421282	nordland	13.2907325225	65.6215448807
15200004	152	4	Fustvatn	152.4	1960	2012	0	525.69	436	422912	nordland	13.3076484748	65.9050580957
15300001	153	1	Storvatn	153.1	1960	2012	0	48	516	414870	nordland	13.1171930224	66.0937621928
15600008	156	8	Svartisdal	156.8	1960	2012	0	121.98	902	465482	nordland	14.2248265893	66.4808882322
15600010	156	10	Berget	156.10	1960	2012	0	210.63	804	450012	nordland	13.8784760313	66.4567164074
15600013	156	13	BjOrnfoss	156.13	1960	2012	0	306.1	924	469532	nordland	14.3160143316	66.4723690112
15600015	156	15	Forsbakk	156.15	1963	2012	1	56.04	445	446652	nordland	13.8108700697	66.2930072954
15600017	156	17	Virvatn	156.17	1966	2012	2	79.06	833	516192	nordland	15.361118236	66.3079011833
15600024	156	24	Bogvatn	156.24	1970	2012	1	36.21	985	477632	nordland	14.4946159932	66.6324394546
15600027	156	27	Leiraaga	156.27	1974	2012	0	44.09	494	449012	nordland	13.8567636795	66.440857567
15700003	157	3	Vassvatn	157.3	1960	2012	0	16.33	471	418712	nordland	13.1807689302	66.3926258746
15900003	159	3	Engabrevatn	159.3	1969	2012	5	53.33	1168	445532	nordland	13.7661864858	66.694803945
15900005	159	5	StrOmdalen	159.5	1976	2012	5	22.44	416	429932	nordland	13.4170406088	66.627971869
16100007	161	7	Tollaaga	161.7	1972	2012	2	225.05	795	493632	nordland	14.8545684876	66.8969240995
16200003	162	3	Skarsvatn	162.3	1960	2012	0	145.39	520	499241	nordland	14.9825326158	67.0837367551
16300005	163	5	Junkerdalselv	163.5	1960	2012	0	421.98	834	518043	nordland	15.4106876469	66.8147981023
16300006	163	6	Jordbrufjell	163.6	1960	2012	1	69.91	664	506407	nordland	15.1465539059	66.9356041186
16300007	163	7	Kjemaavatn	163.7	1969	2012	1	36.48	935	517992	nordland	15.4087676249	66.769168421
16600001	166	1	Lakshola	166.1	1960	2012	0	230.79	500	532582	nordland	15.7614072837	67.4513525157
16600013	166	13	Vallvatn	166.13	1960	2012	2	53.04	97	523039	nordland	15.5359783098	67.3440848394
16700003	167	3	kobbvatn	167.3	1960	2012	0	387.14	680	542026	nordland	15.9892892481	67.6238643486
16800003	168	3	Laksaa bru	168.3	1960	2012	0	26.67	217	512486	nordland	15.2960780725	67.7966344483
17200005	172	5	Melkedal (Litlevatn)	172.5	1960	2012	0	92.15	412	570950	nordland	16.716241052	68.2547123766
17200007	172	7	Leirpoldvatn	172.7	1970	2012	1	18.84	216	558993	nordland	16.4287385708	68.2831776422
17200008	172	8	Rauvatn	172.8	1977	2012	1	21.17	632	578022	nordland	16.8833287739	68.2058606357
17700004	177	4	Sneisvatn	177.4	1960	2012	0	29.25	302	528971	nordland	15.7054432428	68.4074830925
17800001	178	1	Langvatn	178.1	1960	2012	0	18.41	356	529132	nordland	15.7160409458	68.6189695629
18500001	185	1	Gaaslandsvatn	185.1	1960	2012	1	7.7	34	484953	nordland	14.6292726432	68.6728276175
18900003	189	3	Tennevikvatn	189.3	1978	2012	1	85.41	315	569986	nordland	16.7223456465	68.6448954644
19400001	194	1	Lysetvatn	194.1	1960	2012	6	129.68	292	610833	finnmark	17.8216535973	69.3863329416
19600007	196	7	Ytre FiskelOsvatn	196.7	1960	2012	1	54.42	273	653315.84	finnmark	18.8820667741	69.2629743252
19600011	196	11	Lille Rostavatn	196.11	1960	2012	0	638.38	740	682880.44	finnmark	19.581081202	69.0229805343
19600012	196	12	Lundberg	196.12	1961	2012	3	246.53	868	643677.17	finnmark	18.5494147369	68.7223494475
19600035	196	35	Malangsfoss	196.35	1960	2012	0	3110.65	713	646006.34	finnmark	18.6583375244	69.0349282602
20500003	205	3	Skibotn bru	205.3	1970	2012	1	727.22	819	707196.97	finnmark	20.2737482309	69.365066645
20500006	205	6	Didnojokka	205.6	1979	2012	1	110.87	922	728933.93	finnmark	20.7784650376	69.1790310388
20500008	205	8	Helligskogen	205.8	1982	2012	2	371.08	831	723594.8	finnmark	20.6570869168	69.2317264244
20600003	206	3	Manndalen bru	206.3	1971	2012	1	200.48	933	715473.77	finnmark	20.5256949546	69.5239453267
20800002	208	2	Oksfjordvatn	208.2	1960	2012	0	265.6	548	744171.21	finnmark	21.3763954222	69.9003319278
20800003	208	3	Svartfossberget	208.3	1981	2012	1	1932.29	673	748701.12	finnmark	21.3816610139	69.5285396848
20900004	209	4	Lillefossen	209.4	1961	2012	1	331.83	806	766270.33	finnmark	21.9176192942	69.7856716991
21200010	212	10	Masi	212.10	1966	2012	1	5620.81	450	837785.41	finnmark	23.6350364177	69.4200409093
21200011	212	11	Kista	212.11	1971	2012	1	6181.8	449	826880.1	finnmark	23.5168051942	69.8263027441
21200049	212	49	Halsnes	212.49	1966	2012	5	144.89	531	802014.27	finnmark	22.9416370878	70.0264364248
21300002	213	2	Leribotnvatn	213.2	1961	2012	1	135.47	457	823897.88	finnmark	23.5534396141	70.106674463
21300004	213	4	Kvalsund	213.4	1978	2012	1	124.8	355	832717.95	finnmark	23.9533116901	70.4868392422
22300001	223	1	Stabburselv	223.1	1960	2012	1	1067.33	441	872637.89	finnmark	24.8833008425	70.1763363236
22300002	223	2	Lombola	223.2	1960	2012	0	877.14	435	868698.5	finnmark	24.7606273454	70.1398546151
22400001	224	1	Skoganvarre	224.1	1960	2012	2	942.31	345	886448.06	finnmark	25.0854200922	69.8369901977
24400002	244	2	Neiden	244.2	1960	2012	5	2947.19	212	1050091.64	finnmark	29.3213081449	69.7007173953
24600009	246	9	Sametielv	246.9	1962	2012	1	255.69	131	1073079.06	finnmark	29.7170452066	69.400154412
24700003	247	3	Karpelva	247.3	1960	2012	0	128.89	192	1091325.27	finnmark	30.3841205301	69.6599111978
30700005	307	5	MurusjO	307.5	1960	2012	0	345.62	528	452694	trondelag	14.0156504925	64.4866994975
30700007	307	7	Landbru	307.7	1960	2012	0	61.37	711	448692	trondelag	13.9165089785	64.8867905641
30800001	308	1	Lenglingen	308.1	1960	2012	0	449.98	625	439898	trondelag	13.7603059996	64.2448717133
31100004	311	4	Femundsenden (Femunden)	311.4	1960	2012	0	1794.03	782	339350	ostlandet	11.9400429708	61.9199611473
31100006	311	6	Nybergsund	311.6	1960	2012	0	4424.85	781	356394	ostlandet	12.322495811	61.2590776466
31100460	311	460	Engeren	311.460	1960	2012	0	394.83	837	342155.66	ostlandet	12.0183481106	61.6648789597
31300010	313	10	Magnor	313.10	1960	2012	0	359.95	240	342930	ostlandet	12.1872845973	59.954640895
